Event Name,Website,City,2014 Location,2014 Date,2014 Longitude,2014 Latitude,2015 Location,2015 Date,2015 Longitude,2015 Latitude,Additional Notes
Seattle Vegfest,www.vegofwa.org/Vegfest/Default.aspx,"Seattle, WA",Seattle Center's Exhibition Hall,3/29/2014,-122.3523516,47.6219621,,,,,Two days
New England VegFest,NewEnglandVegFest.com,"Worcester, MA",DCU Center,4/6/2014,-71.79876,42.265458,DCU Center,4/28/2015,,,"Formerly ""Worcester VegFest"""
Philly VegFest,www.thehumaneleague.com/phillyvegfest/,"Philadelphia, PA",2nd & Pine Street,6/14/2014,-75.1451068,39.9430609,,,,,
Richmond Vegetarian Fest,www.veggiefest.org/,"Richmond, VA",Azalea Gardens at Bryan Park,6/21/2014,-77.47211,37.596144,,,,,
DC Veg Fest,DCVegFest.com,"Washington, DC",Yards Park,9/20/2014,-77.00107,38.87361,,,,,
Portland VegFest,nwveg.org/vegfest,"Portland, OR",Oregon Convention Center,9/27/2014,-122.66296,45.527977,,,,,Two days
Twin Cities Veg Fest,tcvegfest.com,"Minneapolis, MN",Coffman Memorial Union,9/28/2014,-93.235347,44.972822,,,,,
Chicago VeganMania,chicagoveganmania.com,"Chicago, IL",Broadway Armory,10/11/2014,-87.659692,41.98914,,,,,
Boston Vegetarian Food Festival,BostonVeg.org,"Boston, MA",Reggie Lewis Center,10/25/2014,-71.093046,42.331975,,,,,Two days
Atlanta VegFest,http://atlantavegfest.com/,"Atlanta, GA",Easley Conference Pavilion on the Atlanta Metropolitan State College,11/8/2014,,,,,,,
Tampa Bay VegFest,http://www.tampabayvegfest.org/,"Tampa, FL",Cotanchobee Fort Brooke Park,11/8/2014,,,,,,,
VegFest Houston,www.vegansocietyofpeace.org/vegfesthouston,"Houston, TX",,,,,,,,,
Texas Veggie Fair,www.texasveggiefair.com/,"Dallas, TX",,,,,,,,,
VegFest Colorado,vegfestcolorado.org/,"Denver, CO",,,,,,,,,
VegFest Los Angeles,http://www.worldfestevents.com/,"Lake Balboa, CA",,,,,,,,,
World Veg Festival,worldvegfestival.com,"San Francisco, CA",,,,,,,,,
Vegetarian Food Festival,,"Toronto, Canada",,,,,,,,,
Albany VegFest,www.albanyvegan.org/VegFest2014/tabid/187/Default.aspx,"Albany, NY",,,,,,,,,
Niagra VegFest,http://niagaravegfest.com/,,,,,,,,,,
Baltimore VegFest,,"Baltimore, MD",,,,,,,,,
Bethlehem VegFest,http://www.downtownbethlehemassociation.com/events/vegfest,"Bethlehem, PA",,,,,,,,,
Michigan VegFest,,,,,,,,,,,
Vegan Earth Day,,"Berkeley, CA",,,,,,,,,
Mad City Vegan Fest,,"Madison, WI",,,,,,,,,
